day,month,year,province,health_zone,confirmed_cases
29,4,2019,North Kivu,Lubero,4
30,4,2019,North Kivu,Lubero,4
1,5,2019,North Kivu,Lubero,4
2,5,2019,North Kivu,Lubero,4
3,5,2019,North Kivu,Lubero,4
4,5,2019,North Kivu,Lubero,4
5,5,2019,North Kivu,Lubero,4
6,5,2019,North Kivu,Lubero,6
7,5,2019,North Kivu,Lubero,6
8,5,2019,North Kivu,Lubero,6
9,5,2019,North Kivu,Lubero,8
10,5,2019,North Kivu,Lubero,8
11,5,2019,North Kivu,Lubero,8
12,5,2019,North Kivu,Lubero,8
13,5,2019,North Kivu,Lubero,9
14,5,2019,North Kivu,Lubero,10
15,5,2019,North Kivu,Lubero,10
16,5,2019,North Kivu,Lubero,10
17,5,2019,North Kivu,Lubero,11
18,5,2019,North Kivu,Lubero,11
19,5,2019,North Kivu,Lubero,11
20,5,2019,North Kivu,Lubero,11
21,5,2019,North Kivu,Lubero,11
22,5,2019,North Kivu,Lubero,11
23,5,2019,North Kivu,Lubero,11
24,5,2019,North Kivu,Lubero,11
25,5,2019,North Kivu,Lubero,11
26,5,2019,North Kivu,Lubero,11
27,5,2019,North Kivu,Lubero,11
28,5,2019,North Kivu,Lubero,11
29,5,2019,North Kivu,Lubero,11
30,5,2019,North Kivu,Lubero,11
31,5,2019,North Kivu,Lubero,11
1,6,2019,North Kivu,Lubero,11
2,6,2019,North Kivu,Lubero,11
3,6,2019,North Kivu,Lubero,11
4,6,2019,North Kivu,Lubero,11
5,6,2019,North Kivu,Lubero,11
6,6,2019,North Kivu,Lubero,11
7,6,2019,North Kivu,Lubero,11
8,6,2019,North Kivu,Lubero,11
9,6,2019,North Kivu,Lubero,11
10,6,2019,North Kivu,Lubero,11
11,6,2019,North Kivu,Lubero,11
12,6,2019,North Kivu,Lubero,11
13,6,2019,North Kivu,Lubero,11
14,6,2019,North Kivu,Lubero,12
15,6,2019,North Kivu,Lubero,12
16,6,2019,North Kivu,Lubero,12
17,6,2019,North Kivu,Lubero,12
18,6,2019,North Kivu,Lubero,12
19,6,2019,North Kivu,Lubero,12
20,6,2019,North Kivu,Lubero,12
21,6,2019,North Kivu,Lubero,15
22,6,2019,North Kivu,Lubero,20
23,6,2019,North Kivu,Lubero,20
24,6,2019,North Kivu,Lubero,21
25,6,2019,North Kivu,Lubero,22
26,6,2019,North Kivu,Lubero,22
27,6,2019,North Kivu,Lubero,22
28,6,2019,North Kivu,Lubero,23
29,6,2019,North Kivu,Lubero,24
30,6,2019,North Kivu,Lubero,26
1,7,2019,North Kivu,Lubero,27
2,7,2019,North Kivu,Lubero,27
3,7,2019,North Kivu,Lubero,27
4,7,2019,North Kivu,Lubero,27
5,7,2019,North Kivu,Lubero,28
6,7,2019,North Kivu,Lubero,28
7,7,2019,North Kivu,Lubero,28
8,7,2019,North Kivu,Lubero,28
9,7,2019,North Kivu,Lubero,28
10,7,2019,North Kivu,Lubero,28
11,7,2019,North Kivu,Lubero,28
12,7,2019,North Kivu,Lubero,28
13,7,2019,North Kivu,Lubero,28
14,7,2019,North Kivu,Lubero,28
15,7,2019,North Kivu,Lubero,28
16,7,2019,North Kivu,Lubero,28
17,7,2019,North Kivu,Lubero,28
18,7,2019,North Kivu,Lubero,28
19,7,2019,North Kivu,Lubero,29
20,7,2019,North Kivu,Lubero,29
21,7,2019,North Kivu,Lubero,29
30,7,2019,North Kivu,Lubero,31
31,7,2019,North Kivu,Lubero,31
1,8,2019,North Kivu,Lubero,31
2,8,2019,North Kivu,Lubero,31
3,8,2019,North Kivu,Lubero,31
4,8,2019,North Kivu,Lubero,31
6,8,2019,North Kivu,Lubero,31
7,8,2019,North Kivu,Lubero,31
8,8,2019,North Kivu,Lubero,31
9,8,2019,North Kivu,Lubero,31
10,8,2019,North Kivu,Lubero,31
11,8,2019,North Kivu,Lubero,31
12,8,2019,North Kivu,Lubero,31
13,8,2019,North Kivu,Lubero,31
14,8,2019,North Kivu,Lubero,31
15,8,2019,North Kivu,Lubero,31
16,8,2019,North Kivu,Lubero,31
17,8,2019,North Kivu,Lubero,31
18,8,2019,North Kivu,Lubero,31
19,8,2019,North Kivu,Lubero,31
20,8,2019,North Kivu,Lubero,31
21,8,2019,North Kivu,Lubero,31
22,8,2019,North Kivu,Lubero,31
23,8,2019,North Kivu,Lubero,31
24,8,2019,North Kivu,Lubero,31
25,8,2019,North Kivu,Lubero,31
26,8,2019,North Kivu,Lubero,31
27,8,2019,North Kivu,Lubero,31
28,8,2019,North Kivu,Lubero,31
29,8,2019,North Kivu,Lubero,31
30,8,2019,North Kivu,Lubero,31
31,8,2019,North Kivu,Lubero,31
1,9,2019,North Kivu,Lubero,31
2,9,2019,North Kivu,Lubero,31
3,9,2019,North Kivu,Lubero,31
4,9,2019,North Kivu,Lubero,31
5,9,2019,North Kivu,Lubero,31
6,9,2019,North Kivu,Lubero,31
7,9,2019,North Kivu,Lubero,31
8,9,2019,North Kivu,Lubero,31
9,9,2019,North Kivu,Lubero,31
10,9,2019,North Kivu,Lubero,31
11,9,2019,North Kivu,Lubero,31
12,9,2019,North Kivu,Lubero,31
13,9,2019,North Kivu,Lubero,31
14,9,2019,North Kivu,Lubero,31
15,9,2019,North Kivu,Lubero,31
16,9,2019,North Kivu,Lubero,31
17,9,2019,North Kivu,Lubero,31
18,9,2019,North Kivu,Lubero,31
19,9,2019,North Kivu,Lubero,31
20,9,2019,North Kivu,Lubero,31
21,9,2019,North Kivu,Lubero,31
22,9,2019,North Kivu,Lubero,31
23,9,2019,North Kivu,Lubero,31
24,9,2019,North Kivu,Lubero,31
25,9,2019,North Kivu,Lubero,31
26,9,2019,North Kivu,Lubero,31
27,9,2019,North Kivu,Lubero,31
28,9,2019,North Kivu,Lubero,31
29,9,2019,North Kivu,Lubero,31
30,9,2019,North Kivu,Lubero,31
1,10,2019,North Kivu,Lubero,31
2,10,2019,North Kivu,Lubero,31
3,10,2019,North Kivu,Lubero,31
4,10,2019,North Kivu,Lubero,31
5,10,2019,North Kivu,Lubero,31
6,10,2019,North Kivu,Lubero,31
7,10,2019,North Kivu,Lubero,31
8,10,2019,North Kivu,Lubero,31
9,10,2019,North Kivu,Lubero,31
10,10,2019,North Kivu,Lubero,31
11,10,2019,North Kivu,Lubero,31
12,10,2019,North Kivu,Lubero,31
13,10,2019,North Kivu,Lubero,31
14,10,2019,North Kivu,Lubero,31
15,10,2019,North Kivu,Lubero,31
16,10,2019,North Kivu,Lubero,31
17,10,2019,North Kivu,Lubero,31
18,10,2019,North Kivu,Lubero,31
19,10,2019,North Kivu,Lubero,31
20,10,2019,North Kivu,Lubero,31
21,10,2019,North Kivu,Lubero,31
22,10,2019,North Kivu,Lubero,31
23,10,2019,North Kivu,Lubero,31
24,10,2019,North Kivu,Lubero,31
25,10,2019,North Kivu,Lubero,31
26,10,2019,North Kivu,Lubero,31
27,10,2019,North Kivu,Lubero,31
28,10,2019,North Kivu,Lubero,31
29,10,2019,North Kivu,Lubero,31
30,10,2019,North Kivu,Lubero,31
31,10,2019,North Kivu,Lubero,31
1,11,2019,North Kivu,Lubero,31
2,11,2019,North Kivu,Lubero,31
3,11,2019,North Kivu,Lubero,31
4,11,2019,North Kivu,Lubero,31
5,11,2019,North Kivu,Lubero,31
6,11,2019,North Kivu,Lubero,31
7,11,2019,North Kivu,Lubero,31
8,11,2019,North Kivu,Lubero,31
9,11,2019,North Kivu,Lubero,31
10,11,2019,North Kivu,Lubero,31
11,11,2019,North Kivu,Lubero,31
12,11,2019,North Kivu,Lubero,31
13,11,2019,North Kivu,Lubero,31
14,11,2019,North Kivu,Lubero,31
15,11,2019,North Kivu,Lubero,31
16,11,2019,North Kivu,Lubero,31
17,11,2019,North Kivu,Lubero,31
18,11,2019,North Kivu,Lubero,31
19,11,2019,North Kivu,Lubero,31
20,11,2019,North Kivu,Lubero,31
21,11,2019,North Kivu,Lubero,31
22,11,2019,North Kivu,Lubero,31
23,11,2019,North Kivu,Lubero,31
24,11,2019,North Kivu,Lubero,31
25,11,2019,North Kivu,Lubero,31
26,11,2019,North Kivu,Lubero,31
27,11,2019,North Kivu,Lubero,31
28,11,2019,North Kivu,Lubero,31
29,11,2019,North Kivu,Lubero,31
30,11,2019,North Kivu,Lubero,31
1,12,2019,North Kivu,Lubero,31
2,12,2019,North Kivu,Lubero,31
3,12,2019,North Kivu,Lubero,31
4,12,2019,North Kivu,Lubero,31
5,12,2019,North Kivu,Lubero,31
6,12,2019,North Kivu,Lubero,31
7,12,2019,North Kivu,Lubero,31
8,12,2019,North Kivu,Lubero,31
9,12,2019,North Kivu,Lubero,31
10,12,2019,North Kivu,Lubero,31
11,12,2019,North Kivu,Lubero,31
12,12,2019,North Kivu,Lubero,31
13,12,2019,North Kivu,Lubero,31
14,12,2019,North Kivu,Lubero,31
15,12,2019,North Kivu,Lubero,31
16,12,2019,North Kivu,Lubero,31
17,12,2019,North Kivu,Lubero,31
18,12,2019,North Kivu,Lubero,31
19,12,2019,North Kivu,Lubero,31
20,12,2019,North Kivu,Lubero,31
21,12,2019,North Kivu,Lubero,31
22,12,2019,North Kivu,Lubero,31
23,12,2019,North Kivu,Lubero,31
24,12,2019,North Kivu,Lubero,31
25,12,2019,North Kivu,Lubero,31
26,12,2019,North Kivu,Lubero,31
27,12,2019,North Kivu,Lubero,31
28,12,2019,North Kivu,Lubero,31
29,12,2019,North Kivu,Lubero,31
30,12,2019,North Kivu,Lubero,31
31,12,2019,North Kivu,Lubero,31
17,1,2019,North Kivu,Musienene,6
18,1,2019,North Kivu,Musienene,6
19,1,2019,North Kivu,Musienene,6
20,1,2019,North Kivu,Musienene,6
21,1,2019,North Kivu,Musienene,6
22,1,2019,North Kivu,Musienene,6
23,1,2019,North Kivu,Musienene,6
24,1,2019,North Kivu,Musienene,6
25,1,2019,North Kivu,Musienene,6
26,1,2019,North Kivu,Musienene,6
27,1,2019,North Kivu,Musienene,6
28,1,2019,North Kivu,Musienene,6
29,1,2019,North Kivu,Musienene,6
30,1,2019,North Kivu,Musienene,6
31,1,2019,North Kivu,Musienene,6
1,2,2019,North Kivu,Musienene,6
2,2,2019,North Kivu,Musienene,6
3,2,2019,North Kivu,Musienene,6
4,2,2019,North Kivu,Musienene,6
5,2,2019,North Kivu,Musienene,6
6,2,2019,North Kivu,Musienene,6
7,2,2019,North Kivu,Musienene,6
8,2,2019,North Kivu,Musienene,6
9,2,2019,North Kivu,Musienene,6
10,2,2019,North Kivu,Musienene,6
11,2,2019,North Kivu,Musienene,6
12,2,2019,North Kivu,Musienene,6
13,2,2019,North Kivu,Musienene,6
14,2,2019,North Kivu,Musienene,6
15,2,2019,North Kivu,Musienene,6
16,2,2019,North Kivu,Musienene,6
17,2,2019,North Kivu,Musienene,6
18,2,2019,North Kivu,Musienene,6
19,2,2019,North Kivu,Musienene,6
20,2,2019,North Kivu,Musienene,6
21,2,2019,North Kivu,Musienene,6
22,2,2019,North Kivu,Musienene,6
23,2,2019,North Kivu,Musienene,6
24,2,2019,North Kivu,Musienene,6
25,2,2019,North Kivu,Musienene,6
26,2,2019,North Kivu,Musienene,6
27,2,2019,North Kivu,Musienene,6
28,2,2019,North Kivu,Musienene,6
1,3,2019,North Kivu,Musienene,6
2,3,2019,North Kivu,Musienene,6
3,3,2019,North Kivu,Musienene,6
4,3,2019,North Kivu,Musienene,6
5,3,2019,North Kivu,Musienene,6
6,3,2019,North Kivu,Musienene,6
7,3,2019,North Kivu,Musienene,6
8,3,2019,North Kivu,Musienene,6
9,3,2019,North Kivu,Musienene,6
10,3,2019,North Kivu,Musienene,6
11,3,2019,North Kivu,Musienene,6
12,3,2019,North Kivu,Musienene,6
13,3,2019,North Kivu,Musienene,6
14,3,2019,North Kivu,Musienene,6
15,3,2019,North Kivu,Musienene,6
16,3,2019,North Kivu,Musienene,6
17,3,2019,North Kivu,Musienene,6
18,3,2019,North Kivu,Musienene,6
19,3,2019,North Kivu,Musienene,6
20,3,2019,North Kivu,Musienene,6
21,3,2019,North Kivu,Musienene,6
22,3,2019,North Kivu,Musienene,6
23,3,2019,North Kivu,Musienene,6
24,3,2019,North Kivu,Musienene,6
25,3,2019,North Kivu,Musienene,6
26,3,2019,North Kivu,Musienene,6
27,3,2019,North Kivu,Musienene,6
28,3,2019,North Kivu,Musienene,6
29,3,2019,North Kivu,Musienene,6
11,4,2019,North Kivu,Musienene,6
12,4,2019,North Kivu,Musienene,6
13,4,2019,North Kivu,Musienene,6
1,1,2019,North Kivu,Musienene,4
2,1,2019,North Kivu,Musienene,4
3,1,2019,North Kivu,Musienene,4
4,1,2019,North Kivu,Musienene,4
5,1,2019,North Kivu,Musienene,4
6,1,2019,North Kivu,Musienene,4
7,1,2019,North Kivu,Musienene,4
8,1,2019,North Kivu,Musienene,4
9,1,2019,North Kivu,Musienene,4
10,1,2019,North Kivu,Musienene,4
11,1,2019,North Kivu,Musienene,4
12,1,2019,North Kivu,Musienene,4
13,1,2019,North Kivu,Musienene,4
30,3,2019,North Kivu,Musienene,7
31,3,2019,North Kivu,Musienene,7
1,4,2019,North Kivu,Musienene,7
2,4,2019,North Kivu,Musienene,7
3,4,2019,North Kivu,Musienene,8
4,4,2019,North Kivu,Musienene,8
5,4,2019,North Kivu,Musienene,8
6,4,2019,North Kivu,Musienene,8
7,4,2019,North Kivu,Musienene,8
8,4,2019,North Kivu,Musienene,8
9,4,2019,North Kivu,Musienene,8
10,4,2019,North Kivu,Musienene,8
14,4,2019,North Kivu,Musienene,7
15,4,2019,North Kivu,Musienene,7
16,4,2019,North Kivu,Musienene,7
17,4,2019,North Kivu,Musienene,7
18,4,2019,North Kivu,Musienene,7
19,4,2019,North Kivu,Musienene,7
20,4,2019,North Kivu,Musienene,9
21,4,2019,North Kivu,Musienene,9
22,4,2019,North Kivu,Musienene,9
23,4,2019,North Kivu,Musienene,9
24,4,2019,North Kivu,Musienene,12
25,4,2019,North Kivu,Musienene,15
26,4,2019,North Kivu,Musienene,17
28,4,2019,North Kivu,Musienene,20
29,4,2019,North Kivu,Musienene,22
30,4,2019,North Kivu,Musienene,23
1,5,2019,North Kivu,Musienene,26
2,5,2019,North Kivu,Musienene,27
3,5,2019,North Kivu,Musienene,30
4,5,2019,North Kivu,Musienene,32
5,5,2019,North Kivu,Musienene,32
6,5,2019,North Kivu,Musienene,32
7,5,2019,North Kivu,Musienene,33
8,5,2019,North Kivu,Musienene,33
9,5,2019,North Kivu,Musienene,35
10,5,2019,North Kivu,Musienene,36
11,5,2019,North Kivu,Musienene,37
12,5,2019,North Kivu,Musienene,38
13,5,2019,North Kivu,Musienene,40
14,5,2019,North Kivu,Musienene,44
15,5,2019,North Kivu,Musienene,47
16,5,2019,North Kivu,Musienene,48
17,5,2019,North Kivu,Musienene,50
18,5,2019,North Kivu,Musienene,51
19,5,2019,North Kivu,Musienene,51
20,5,2019,North Kivu,Musienene,55
21,5,2019,North Kivu,Musienene,55
22,5,2019,North Kivu,Musienene,55
23,5,2019,North Kivu,Musienene,55
24,5,2019,North Kivu,Musienene,55
25,5,2019,North Kivu,Musienene,55
26,5,2019,North Kivu,Musienene,55
27,5,2019,North Kivu,Musienene,55
28,5,2019,North Kivu,Musienene,56
29,5,2019,North Kivu,Musienene,56
30,5,2019,North Kivu,Musienene,58
31,5,2019,North Kivu,Musienene,58
1,6,2019,North Kivu,Musienene,58
2,6,2019,North Kivu,Musienene,58
3,6,2019,North Kivu,Musienene,58
4,6,2019,North Kivu,Musienene,58
5,6,2019,North Kivu,Musienene,60
6,6,2019,North Kivu,Musienene,60
7,6,2019,North Kivu,Musienene,60
8,6,2019,North Kivu,Musienene,61
9,6,2019,North Kivu,Musienene,62
10,6,2019,North Kivu,Musienene,65
11,6,2019,North Kivu,Musienene,65
12,6,2019,North Kivu,Musienene,65
13,6,2019,North Kivu,Musienene,65
14,6,2019,North Kivu,Musienene,65
15,6,2019,North Kivu,Musienene,66
16,6,2019,North Kivu,Musienene,67
17,6,2019,North Kivu,Musienene,67
18,6,2019,North Kivu,Musienene,68
19,6,2019,North Kivu,Musienene,68
20,6,2019,North Kivu,Musienene,68
21,6,2019,North Kivu,Musienene,68
22,6,2019,North Kivu,Musienene,68
23,6,2019,North Kivu,Musienene,69
24,6,2019,North Kivu,Musienene,70
25,6,2019,North Kivu,Musienene,71
26,6,2019,North Kivu,Musienene,71
27,6,2019,North Kivu,Musienene,71
28,6,2019,North Kivu,Musienene,71
29,6,2019,North Kivu,Musienene,71
30,6,2019,North Kivu,Musienene,71
1,7,2019,North Kivu,Musienene,71
2,7,2019,North Kivu,Musienene,71
3,7,2019,North Kivu,Musienene,71
4,7,2019,North Kivu,Musienene,71
5,7,2019,North Kivu,Musienene,71
6,7,2019,North Kivu,Musienene,71
7,7,2019,North Kivu,Musienene,71
8,7,2019,North Kivu,Musienene,71
9,7,2019,North Kivu,Musienene,71
10,7,2019,North Kivu,Musienene,71
11,7,2019,North Kivu,Musienene,71
12,7,2019,North Kivu,Musienene,71
13,7,2019,North Kivu,Musienene,71
14,7,2019,North Kivu,Musienene,71
15,7,2019,North Kivu,Musienene,71
16,7,2019,North Kivu,Musienene,71
17,7,2019,North Kivu,Musienene,71
18,7,2019,North Kivu,Musienene,71
19,7,2019,North Kivu,Musienene,71
20,7,2019,North Kivu,Musienene,71
21,7,2019,North Kivu,Musienene,71
30,7,2019,North Kivu,Musienene,71
31,7,2019,North Kivu,Musienene,73
1,8,2019,North Kivu,Musienene,73
2,8,2019,North Kivu,Musienene,73
3,8,2019,North Kivu,Musienene,73
4,8,2019,North Kivu,Musienene,73
6,8,2019,North Kivu,Musienene,74
7,8,2019,North Kivu,Musienene,74
8,8,2019,North Kivu,Musienene,74
9,8,2019,North Kivu,Musienene,74
10,8,2019,North Kivu,Musienene,74
11,8,2019,North Kivu,Musienene,75
12,8,2019,North Kivu,Musienene,75
13,8,2019,North Kivu,Musienene,75
14,8,2019,North Kivu,Musienene,75
15,8,2019,North Kivu,Musienene,76
16,8,2019,North Kivu,Musienene,76
17,8,2019,North Kivu,Musienene,77
18,8,2019,North Kivu,Musienene,78
19,8,2019,North Kivu,Musienene,78
20,8,2019,North Kivu,Musienene,80
21,8,2019,North Kivu,Musienene,80
22,8,2019,North Kivu,Musienene,81
23,8,2019,North Kivu,Musienene,81
24,8,2019,North Kivu,Musienene,81
25,8,2019,North Kivu,Musienene,81
26,8,2019,North Kivu,Musienene,81
27,8,2019,North Kivu,Musienene,81
28,8,2019,North Kivu,Musienene,81
29,8,2019,North Kivu,Musienene,82
30,8,2019,North Kivu,Musienene,83
31,8,2019,North Kivu,Musienene,84
1,9,2019,North Kivu,Musienene,84
2,9,2019,North Kivu,Musienene,84
3,9,2019,North Kivu,Musienene,84
4,9,2019,North Kivu,Musienene,84
5,9,2019,North Kivu,Musienene,84
6,9,2019,North Kivu,Musienene,84
7,9,2019,North Kivu,Musienene,84
8,9,2019,North Kivu,Musienene,84
9,9,2019,North Kivu,Musienene,84
10,9,2019,North Kivu,Musienene,84
11,9,2019,North Kivu,Musienene,84
12,9,2019,North Kivu,Musienene,84
13,9,2019,North Kivu,Musienene,84
14,9,2019,North Kivu,Musienene,84
15,9,2019,North Kivu,Musienene,84
16,9,2019,North Kivu,Musienene,84
17,9,2019,North Kivu,Musienene,84
18,9,2019,North Kivu,Musienene,84
19,9,2019,North Kivu,Musienene,84
20,9,2019,North Kivu,Musienene,84
21,9,2019,North Kivu,Musienene,84
22,9,2019,North Kivu,Musienene,84
23,9,2019,North Kivu,Musienene,84
24,9,2019,North Kivu,Musienene,84
25,9,2019,North Kivu,Musienene,84
26,9,2019,North Kivu,Musienene,84
27,9,2019,North Kivu,Musienene,84
28,9,2019,North Kivu,Musienene,84
29,9,2019,North Kivu,Musienene,84
30,9,2019,North Kivu,Musienene,84
1,10,2019,North Kivu,Musienene,84
2,10,2019,North Kivu,Musienene,84
3,10,2019,North Kivu,Musienene,84
4,10,2019,North Kivu,Musienene,84
5,10,2019,North Kivu,Musienene,84
6,10,2019,North Kivu,Musienene,84
7,10,2019,North Kivu,Musienene,84
8,10,2019,North Kivu,Musienene,84
9,10,2019,North Kivu,Musienene,84
10,10,2019,North Kivu,Musienene,84
11,10,2019,North Kivu,Musienene,84
12,10,2019,North Kivu,Musienene,84
13,10,2019,North Kivu,Musienene,84
14,10,2019,North Kivu,Musienene,84
15,10,2019,North Kivu,Musienene,84
16,10,2019,North Kivu,Musienene,84
17,10,2019,North Kivu,Musienene,84
18,10,2019,North Kivu,Musienene,84
19,10,2019,North Kivu,Musienene,84
20,10,2019,North Kivu,Musienene,84
21,10,2019,North Kivu,Musienene,84
22,10,2019,North Kivu,Musienene,84
23,10,2019,North Kivu,Musienene,84
24,10,2019,North Kivu,Musienene,84
25,10,2019,North Kivu,Musienene,84
26,10,2019,North Kivu,Musienene,84
27,10,2019,North Kivu,Musienene,84
28,10,2019,North Kivu,Musienene,84
29,10,2019,North Kivu,Musienene,84
30,10,2019,North Kivu,Musienene,84
31,10,2019,North Kivu,Musienene,84
1,11,2019,North Kivu,Musienene,84
2,11,2019,North Kivu,Musienene,84
3,11,2019,North Kivu,Musienene,84
4,11,2019,North Kivu,Musienene,84
5,11,2019,North Kivu,Musienene,84
6,11,2019,North Kivu,Musienene,84
7,11,2019,North Kivu,Musienene,84
8,11,2019,North Kivu,Musienene,84
9,11,2019,North Kivu,Musienene,84
10,11,2019,North Kivu,Musienene,84
11,11,2019,North Kivu,Musienene,84
12,11,2019,North Kivu,Musienene,84
13,11,2019,North Kivu,Musienene,84
14,11,2019,North Kivu,Musienene,84
15,11,2019,North Kivu,Musienene,84
16,11,2019,North Kivu,Musienene,84
17,11,2019,North Kivu,Musienene,84
18,11,2019,North Kivu,Musienene,84
19,11,2019,North Kivu,Musienene,84
20,11,2019,North Kivu,Musienene,84
21,11,2019,North Kivu,Musienene,84
22,11,2019,North Kivu,Musienene,84
23,11,2019,North Kivu,Musienene,84
24,11,2019,North Kivu,Musienene,84
25,11,2019,North Kivu,Musienene,84
26,11,2019,North Kivu,Musienene,84
27,11,2019,North Kivu,Musienene,84
28,11,2019,North Kivu,Musienene,84
29,11,2019,North Kivu,Musienene,84
30,11,2019,North Kivu,Musienene,84
1,12,2019,North Kivu,Musienene,84
2,12,2019,North Kivu,Musienene,84
3,12,2019,North Kivu,Musienene,84
4,12,2019,North Kivu,Musienene,84
5,12,2019,North Kivu,Musienene,84
6,12,2019,North Kivu,Musienene,84
7,12,2019,North Kivu,Musienene,84
8,12,2019,North Kivu,Musienene,84
9,12,2019,North Kivu,Musienene,84
10,12,2019,North Kivu,Musienene,84
11,12,2019,North Kivu,Musienene,84
12,12,2019,North Kivu,Musienene,84
13,12,2019,North Kivu,Musienene,84
14,12,2019,North Kivu,Musienene,84
15,12,2019,North Kivu,Musienene,84
16,12,2019,North Kivu,Musienene,84
17,12,2019,North Kivu,Musienene,84
18,12,2019,North Kivu,Musienene,84
19,12,2019,North Kivu,Musienene,84
20,12,2019,North Kivu,Musienene,84
21,12,2019,North Kivu,Musienene,84
22,12,2019,North Kivu,Musienene,84
23,12,2019,North Kivu,Musienene,84
24,12,2019,North Kivu,Musienene,84
25,12,2019,North Kivu,Musienene,84
26,12,2019,North Kivu,Musienene,84
27,12,2019,North Kivu,Musienene,84
28,12,2019,North Kivu,Musienene,84
29,12,2019,North Kivu,Musienene,84
30,12,2019,North Kivu,Musienene,84
31,12,2019,North Kivu,Musienene,84
1,1,2019,North Kivu,Kyondo,6
2,1,2019,North Kivu,Kyondo,6
3,1,2019,North Kivu,Kyondo,6
4,1,2019,North Kivu,Kyondo,7
5,1,2019,North Kivu,Kyondo,8
6,1,2019,North Kivu,Kyondo,8
7,1,2019,North Kivu,Kyondo,8
8,1,2019,North Kivu,Kyondo,8
9,1,2019,North Kivu,Kyondo,8
10,1,2019,North Kivu,Kyondo,8
11,1,2019,North Kivu,Kyondo,8
12,1,2019,North Kivu,Kyondo,8
13,1,2019,North Kivu,Kyondo,8
14,1,2019,North Kivu,Kyondo,8
15,1,2019,North Kivu,Kyondo,9
16,1,2019,North Kivu,Kyondo,9
17,1,2019,North Kivu,Kyondo,10
18,1,2019,North Kivu,Kyondo,10
19,1,2019,North Kivu,Kyondo,10
20,1,2019,North Kivu,Kyondo,10
21,1,2019,North Kivu,Kyondo,10
22,1,2019,North Kivu,Kyondo,10
23,1,2019,North Kivu,Kyondo,10
24,1,2019,North Kivu,Kyondo,10
25,1,2019,North Kivu,Kyondo,10
26,1,2019,North Kivu,Kyondo,10
27,1,2019,North Kivu,Kyondo,10
28,1,2019,North Kivu,Kyondo,10
29,1,2019,North Kivu,Kyondo,10
30,1,2019,North Kivu,Kyondo,10
31,1,2019,North Kivu,Kyondo,10
1,2,2019,North Kivu,Kyondo,11
2,2,2019,North Kivu,Kyondo,11
3,2,2019,North Kivu,Kyondo,14
4,2,2019,North Kivu,Kyondo,15
5,2,2019,North Kivu,Kyondo,15
6,2,2019,North Kivu,Kyondo,16
7,2,2019,North Kivu,Kyondo,17
8,2,2019,North Kivu,Kyondo,17
9,2,2019,North Kivu,Kyondo,17
10,2,2019,North Kivu,Kyondo,17
11,2,2019,North Kivu,Kyondo,14
12,2,2019,North Kivu,Kyondo,14
13,2,2019,North Kivu,Kyondo,14
14,2,2019,North Kivu,Kyondo,14
15,2,2019,North Kivu,Kyondo,14
16,2,2019,North Kivu,Kyondo,14
17,2,2019,North Kivu,Kyondo,14
18,2,2019,North Kivu,Kyondo,14
19,2,2019,North Kivu,Kyondo,14
20,2,2019,North Kivu,Kyondo,15
21,2,2019,North Kivu,Kyondo,15
22,2,2019,North Kivu,Kyondo,15
23,2,2019,North Kivu,Kyondo,15
24,2,2019,North Kivu,Kyondo,15
25,2,2019,North Kivu,Kyondo,15
26,2,2019,North Kivu,Kyondo,15
27,2,2019,North Kivu,Kyondo,15
28,2,2019,North Kivu,Kyondo,15
1,3,2019,North Kivu,Kyondo,15
2,3,2019,North Kivu,Kyondo,15
3,3,2019,North Kivu,Kyondo,15
4,3,2019,North Kivu,Kyondo,15
5,3,2019,North Kivu,Kyondo,15
6,3,2019,North Kivu,Kyondo,16
7,3,2019,North Kivu,Kyondo,16
8,3,2019,North Kivu,Kyondo,16
9,3,2019,North Kivu,Kyondo,16
10,3,2019,North Kivu,Kyondo,16
11,3,2019,North Kivu,Kyondo,16
12,3,2019,North Kivu,Kyondo,16
13,3,2019,North Kivu,Kyondo,15
14,3,2019,North Kivu,Kyondo,15
15,3,2019,North Kivu,Kyondo,17
16,3,2019,North Kivu,Kyondo,17
17,3,2019,North Kivu,Kyondo,17
18,3,2019,North Kivu,Kyondo,17
19,3,2019,North Kivu,Kyondo,15
20,3,2019,North Kivu,Kyondo,15
21,3,2019,North Kivu,Kyondo,15
22,3,2019,North Kivu,Kyondo,15
23,3,2019,North Kivu,Kyondo,15
24,3,2019,North Kivu,Kyondo,15
25,3,2019,North Kivu,Kyondo,16
26,3,2019,North Kivu,Kyondo,16
27,3,2019,North Kivu,Kyondo,16
28,3,2019,North Kivu,Kyondo,16
29,3,2019,North Kivu,Kyondo,16
30,3,2019,North Kivu,Kyondo,16
31,3,2019,North Kivu,Kyondo,16
1,4,2019,North Kivu,Kyondo,16
2,4,2019,North Kivu,Kyondo,16
3,4,2019,North Kivu,Kyondo,16
4,4,2019,North Kivu,Kyondo,16
5,4,2019,North Kivu,Kyondo,16
6,4,2019,North Kivu,Kyondo,16
7,4,2019,North Kivu,Kyondo,16
8,4,2019,North Kivu,Kyondo,16
9,4,2019,North Kivu,Kyondo,16
10,4,2019,North Kivu,Kyondo,16
11,4,2019,North Kivu,Kyondo,16
12,4,2019,North Kivu,Kyondo,16
13,4,2019,North Kivu,Kyondo,16
